,Equity,DrawdownPct,DrawdownDuration
2024-01-16 16:30:00+00:00,999994093.8086689,6.000256821625527e-06,
2024-01-16 16:45:00+00:00,999994028.8092792,6.065256205167735e-06,
2024-01-16 17:00:00+00:00,999993989.8078144,6.104257666339485e-06,
2024-01-16 17:15:00+00:00,999994013.0072773,6.081058205653633e-06,
2024-01-16 17:30:00+00:00,999994021.8085468,6.072256936939802e-06,
2024-01-16 17:45:00+00:00,999993991.8097675,6.102255713402727e-06,
2024-01-16 18:00:00+00:00,999994013.8098896,6.080255593454709e-06,
2024-01-16 18:15:00+00:00,999994070.8075702,6.0232579180974355e-06,
2024-01-16 18:30:00+00:00,999993973.8074481,6.120258031039327e-06,
2024-01-16 18:45:00+00:00,999994004.807204,6.089258278163534e-06,
2024-01-16 19:00:00+00:00,999993928.0092175,6.166056257472796e-06,
2024-01-16 19:15:00+00:00,999993878.1969738,6.215868496473043e-06,
2024-01-16 19:30:00+00:00,999993892.9461193,6.201119352344797e-06,
2024-01-16 19:45:00+00:00,999993919.9480724,6.174117401780421e-06,
2024-01-16 20:00:00+00:00,999993886.9463634,6.207119107592973e-06,
2024-01-16 20:15:00+00:00,999993892.9461193,6.201119352344797e-06,
2024-01-16 20:30:00+00:00,999993861.9463634,6.2321191052205904e-06,
2024-01-16 20:45:00+00:00,999993963.9483166,6.130117161773363e-06,
2024-01-17 14:30:00+00:00,999993693.9470959,6.400118357063889e-06,
2024-01-17 14:45:00+00:00,999993774.0526751,6.320012785332452e-06,
2024-01-17 15:00:00+00:00,999993801.951552,6.292113911010588e-06,
2024-01-17 15:15:00+00:00,999993685.9511858,6.408114266331921e-06,
2024-01-17 15:30:00+00:00,999993756.9503313,6.337115127541537e-06,
2024-01-17 15:45:00+00:00,999993709.449721,6.384615733434629e-06,
2024-01-17 16:00:00+00:00,999993741.9509417,6.3521145157174885e-06,
2024-01-17 16:15:00+00:00,999993798.9516741,6.2951137886901876e-06,
2024-01-17 16:30:00+00:00,999993757.9513079,6.336114151017647e-06,
2024-01-17 16:45:00+00:00,999993742.9519182,6.35111353930462e-06,
2024-01-17 17:00:00+00:00,999993732.4508196,6.36161463696272e-06,
2024-01-17 17:15:00+00:00,999993683.9522845,6.41011316748763e-06,
2024-01-17 17:30:00+00:00,999993666.9509417,6.427114508711362e-06,
2024-01-17 17:45:00+00:00,999993690.4525286,6.40361292403302e-06,
2024-01-17 18:00:00+00:00,999993589.9520403,6.504113402860945e-06,
2024-01-17 18:15:00+00:00,999993560.6706513,6.533394789065561e-06,
2024-01-17 18:30:00+00:00,999993411.3771393,6.682688286963057e-06,
2024-01-17 18:45:00+00:00,999993379.7393292,6.714326094114931e-06,
2024-01-17 19:00:00+00:00,999993277.5408856,6.8165245281637254e-06,
2024-01-17 19:15:00+00:00,999993312.5414959,6.7815239210844425e-06,
2024-01-17 19:30:00+00:00,999993355.5407635,6.738524657601275e-06,
2024-01-17 19:45:00+00:00,999993306.5417401,6.787523676443641e-06,
2024-01-17 20:00:00+00:00,999993236.5435711,6.857521838821157e-06,
2024-01-17 20:15:00+00:00,999993235.0421063,6.859023303440459e-06,
2024-01-17 20:30:00+00:00,999993347.5421063,6.7465233140051595e-06,
2024-01-17 20:45:00+00:00,999993466.6533273,6.627412104220909e-06,
2024-01-18 14:30:00+00:00,999993378.7573252,6.7153080980375535e-06,
2024-01-18 14:45:00+00:00,999993470.5277311,6.62353770086721e-06,
2024-01-18 15:00:00+00:00,999993416.647366,6.677418060818674e-06,
2024-01-18 15:15:00+00:00,999993514.6484647,6.579416971352892e-06,
2024-01-18 15:30:00+00:00,999993528.6468778,6.5654185595898085e-06,
2024-01-18 15:45:00+00:00,999993424.3896756,6.669675751913573e-06,
2024-01-18 16:00:00+00:00,999993304.6478543,6.789417561936517e-06,
2024-01-18 16:15:00+00:00,999993289.6484647,6.804416950223491e-06,
2024-01-18 16:30:00+00:00,999993249.2207353,6.844844675724104e-06,
2024-01-18 16:45:00+00:00,999993057.1233903,7.036942002658364e-06,
2024-01-18 17:00:00+00:00,999993026.0860035,7.067979386543577e-06,
2024-01-18 17:15:00+00:00,999992963.722002,7.130343382177884e-06,
2024-01-18 17:30:00+00:00,999992927.7204151,7.166344965670035e-06,
2024-01-18 17:45:00+00:00,999992866.72188,7.227343495119776e-06,
2024-01-18 18:00:00+00:00,999992869.7217579,7.2243436174401765e-06,
2024-01-18 18:15:00+00:00,999992895.7227345,7.198342643399691e-06,
2024-01-18 18:30:00+00:00,999992953.7213917,7.14034399162955e-06,
2024-01-18 18:45:00+00:00,999992942.7198048,7.151345577494084e-06,
2024-01-18 19:00:00+00:00,999993016.72188,7.07734350924305e-06,
2024-01-18 19:15:00+00:00,999993046.7206593,7.047344732780125e-06,
2024-01-18 19:30:00+00:00,999993059.7211475,7.034344245759883e-06,
2024-01-18 19:45:00+00:00,999993123.0663902,6.970999009037193e-06,
2024-01-18 20:00:00+00:00,999993080.8840476,7.01318134765927e-06,
2024-01-18 20:15:00+00:00,999993097.8853904,6.996180006435537e-06,
2024-01-18 20:30:00+00:00,999993124.3868552,6.9696785440775955e-06,
2024-01-18 20:45:00+00:00,999993189.8065442,6.904258861295531e-06,
2024-01-19 14:30:00+00:00,999993101.560542,6.992504855141135e-06,
2024-01-19 14:45:00+00:00,999993147.3120283,6.946753373204828e-06,
2024-01-19 15:00:00+00:00,999992928.9795762,7.165085804672344e-06,
2024-01-19 15:15:00+00:00,999992841.4310654,7.2526343072309984e-06,
2024-01-19 15:30:00+00:00,999992839.9296006,7.254135771961323e-06,
2024-01-19 15:45:00+00:00,999992789.9296006,7.30413576732758e-06,
